"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"IMFA","Indian Metals & Ferro Alloys Limited","EQ","Interim Dividend- Rs 5 Per Share","10","03-Nov-2022","04-Nov-2022","-","-"
"NAVINFLUOR","Navin Fluorine International Limited","EQ","Interim Dividend - Rs  5 Per Share","2","03-Nov-2022","04-Nov-2022","-","-"
"COFORGE","Coforge Limited","EQ","Interim Dividend - Rs 13 Per Share","10","03-Nov-2022","04-Nov-2022","-","-"
"LAURUSLABS","Laurus Labs Limited","EQ","Interim Dividend - Rs  0.80 Per Share","2","03-Nov-2022","04-Nov-2022","-","-"
"DABUR","Dabur India Limited","EQ","Interim Dividend - Rs 2.5 Per Share","1","03-Nov-2022","04-Nov-2022","-","-"
"VAIBHAVGBL","Vaibhav Global Limited","EQ","Interim Dividend- Rs 1.50 Per Share","2","03-Nov-2022","05-Nov-2022","-","-"
"VIPIND","VIP Industries Limited","EQ","Interim Dividend - Rs 2.50 Per Share","2","03-Nov-2022","04-Nov-2022","-","-"
"TCI","Transport Corporation of India Limited","EQ","Interim Dividend - Rs 2.50 Per Share","2","03-Nov-2022","05-Nov-2022","-","-"
"ALLDIGI","Alldigi Tech Limited","EQ","Interim Dividend - Rs 20 Per Share","10","04-Nov-2022","07-Nov-2022","-","-"
"PGHH","Procter & Gamble Hygiene and Health Care Limited","EQ","Annual General Meeting/Dividend - Rs 65 Per Share","10","04-Nov-2022","-","09-Nov-2022","15-Nov-2022"
"CRISIL","CRISIL Limited","EQ","Interim Dividend - Rs 10 Per Share","1","04-Nov-2022","07-Nov-2022","-","-"
"TCIEXP","TCI Express Limited","EQ","Interim Dividend - Rs 3 Per Share","2","04-Nov-2022","08-Nov-2022","-","-"
"KKCL","Kewal Kiran Clothing Limited","EQ","Interim Dividend - Rs 3 Per Share","10","04-Nov-2022","07-Nov-2022","-","-"
"SUPREMEIND","Supreme Industries Limited","EQ","Interim Dividend - Rs 6 Per Share","2","07-Nov-2022","09-Nov-2022","-","-"
"RECLTD","REC Limited","EQ","Interim Dividend - Rs 5 Per Share","10","07-Nov-2022","09-Nov-2022","-","-"
"SPLPETRO","Supreme Petrochem Limited","EQ","Interim Dividend - Rs 4 Per Share","2","07-Nov-2022","09-Nov-2022","-","-"
"TECHM","Tech Mahindra Limited","EQ","Special Dividend - Rs 18 Per Share","5","09-Nov-2022","10-Nov-2022","-","-"
"LTFOODS","LT Foods Limited","EQ","Interim Dividend - Re 0.50 Per Share","1","10-Nov-2022","11-Nov-2022","-","-"
"DALBHARAT","Dalmia Bharat Limited","EQ","Interim Dividend - Rs 4 Per Share","2","10-Nov-2022","11-Nov-2022","-","-"
"SHAREINDIA","Share India Securities Limited","EQ","Interim Dividend - Rs 2 Per Share","2","10-Nov-2022","11-Nov-2022","-","-"
"GILLETTE","Gillette India Limited","EQ","Annual General Meeting/Dividend - Rs 36 Per Share","10","10-Nov-2022","-","12-Nov-2022","18-Nov-2022"
"GMMPFAUDLR","GMM Pfaudler Limited","EQ","Interim Dividend - Re 1 Per Share","2","11-Nov-2022","14-Nov-2022","-","-"
"AJANTPHARM","Ajanta Pharma Limited","EQ","Interim Dividend - Rs 7 Per Share","2","11-Nov-2022","14-Nov-2022","-","-"
"SIYSIL","Siyaram Silk Mills Limited","EQ","Interim Dividend - Rs 4 Per Share","2","11-Nov-2022","14-Nov-2022","-","-"
"EPL","EPL Limited","EQ","Interim Dividend - Rs 2.15 Per Share","2","14-Nov-2022","15-Nov-2022","-","-"
"AMRUTANJAN","Amrutanjan Health Care Limited","EQ","Interim Dividend - Re 1 Per Share","1","14-Nov-2022","15-Nov-2022","-","-"
"JAMNAAUTO","Jamna Auto Industries Limited","EQ","Interim Dividend - Rs  0.80 Per Share","1","14-Nov-2022","15-Nov-2022","-","-"
"SMCGLOBAL","SMC Global Securities Limited","EQ","Interim Dividend - Rs 1.20 Per Share","2","14-Nov-2022","15-Nov-2022","-","-"
"POWERGRID","Power Grid Corporation of India Limited","EQ","Interim Dividend - Rs 5 Per Share","10","14-Nov-2022","15-Nov-2022","-","-"
"PGINVIT","POWERGRID Infrastructure Investment Trust","IV","Interest- Rs 1.98 Per Unit/Taxable Dividend - Rs 0.62 Per Unit/Exempt Dividend- Rs 0.20 Per Unit/Spv Debt- Rs 0.19 Per Unit/Treasury Income Rs 0.01 Per Unit","100","14-Nov-2022","15-Nov-2022","-","-"
"AEGISLOG","Aegis Logistics Limited","EQ","Interim Dividend - Rs 2 Per Share","1","15-Nov-2022","16-Nov-2022","-","-"
"ARE&M","Amara Raja Energy & Mobility Limited","EQ","Interim Dividend - Rs  2.90 Per Share","1","15-Nov-2022","16-Nov-2022","-","-"
"COALINDIA","Coal India Limited","EQ","Interim Dividend - Rs 15 Per Share","10","15-Nov-2022","16-Nov-2022","-","-"
"PGHL","Procter & Gamble Health Limited","EQ","Annual General Meeting/Dividend - Rs  11.50 Per Share","10","15-Nov-2022","-","17-Nov-2022","23-Nov-2022"
"BIRET","Brookfield India Real Estate Trust","RR","Distribution Rs 5.10 Per Unit Comprising Of Dividend - Re 0.09 Per Unit/Interest Amount - Rs 2.42 Per Unit/Repayment Of Spv Debt - Rs 2.57 Per Unit/Interest On Fixed Deposits- Re 0.02 Per Unit","275","15-Nov-2022","16-Nov-2022","-","-"
"CAMS","Computer Age Management Services Limited","EQ","Interim Dividend - Rs 8.50 Per Share","10","16-Nov-2022","17-Nov-2022","-","-"
"BHAGCHEM","Bhagiradha Chemicals & Industries Limited","EQ","Interim Dividend - Re 1 Per Share","1","16-Nov-2022","17-Nov-2022","-","-"
"IRFC","Indian Railway Finance Corporation Limited","EQ","Interim Dividend - Re 0.80 Per Share","10","17-Nov-2022","18-Nov-2022","-","-"
"SUNDRMFAST","Sundram Fasteners Limited","EQ","Interim Dividend - Rs 3.57 Per Share & Special Dividend - Rs 2 Per Share","1","17-Nov-2022","18-Nov-2022","-","-"
"SAKSOFT","Saksoft Limited","EQ","Interim Dividend - Re 0.35 Per Share","1","17-Nov-2022","18-Nov-2022","-","-"
"GABRIEL","Gabriel India Limited","EQ","Interim Dividend - Re 0.90 Per Share","1","17-Nov-2022","18-Nov-2022","-","-"
"BAYERCROP","Bayer Cropscience Limited","EQ","Interim Dividend - Rs 100 Per Share","10","17-Nov-2022","19-Nov-2022","-","-"
"PDSL","PDS Limited","EQ","Interim Dividend - Rs 2.50 Per Share","2","17-Nov-2022","18-Nov-2022","-","-"
"GRINFRA","G R Infraprojects Limited","EQ","Interim Dividend","5","17-Nov-2022","18-Nov-2022","-","-"
"OCCL","Oriental Carbon & Chemicals Limited","EQ","Interim Dividend - Rs 7 Per Share","10","17-Nov-2022","18-Nov-2022","-","-"
"VIDHIING","Vidhi Specialty Food Ingredients Limited","EQ","Interim Dividend - Rs 0.40 Per Share","1","17-Nov-2022","19-Nov-2022","-","-"
"QUESS","Quess Corp Limited","EQ","Interim Dividend - Rs 8 Per Share","10","17-Nov-2022","18-Nov-2022","-","-"
"PAGEIND","Page Industries Limited","EQ","Interim Dividend - Rs 70 Per Share","10","17-Nov-2022","18-Nov-2022","-","-"
"RITES","RITES Limited","EQ","Interim Dividend - Rs 4.50 Per Share","10","17-Nov-2022","18-Nov-2022","-","-"
"MRF","MRF Limited","EQ","Interim Dividend - Rs 3 Per Share","10","17-Nov-2022","18-Nov-2022","-","-"
"MINDSPACE","Mindspace Business Parks REIT","RR","Distribution Rs 4.75 Per Unit Comprising Of Dividend - Rs 4.37 Per Unit/Interest Amount - Re 0.36 Per Unit/Other Income- Re 0.02 Per Unit","275","18-Nov-2022","21-Nov-2022","-","-"
"PPAP","PPAP Automotive Limited","EQ","Interim Dividend - Re 1 Per Share","10","18-Nov-2022","18-Nov-2022","-","-"
"VENUSPIPES","Venus Pipes & Tubes Limited","EQ","Interim Dividend - Re 0.50 Per Share","10","18-Nov-2022","21-Nov-2022","-","-"
"HAL","Hindustan Aeronautics Limited","EQ","Interim Dividend - Rs 20 Per Share","5","18-Nov-2022","21-Nov-2022","-","-"
"LAOPALA","La Opala RG Limited","EQ","Interim Dividend - Rs 2 Per Share","2","18-Nov-2022","21-Nov-2022","-","-"
"MSTCLTD","Mstc Limited","EQ","Interim Dividend - Rs 5.50 Per Share","10","18-Nov-2022","21-Nov-2022","-","-"
"NAUKRI","Info Edge (India) Limited","EQ","Interim Dividend - Rs 10 Per Share","10","18-Nov-2022","21-Nov-2022","-","-"
"SUNTV","Sun TV Network Limited","EQ","Interim Dividend - Rs 3.75 Per Share","5","18-Nov-2022","21-Nov-2022","-","-"
"ASTRAL","Astral Limited","EQ","Interim Dividend - Rs 1.25 Per Share","1","18-Nov-2022","21-Nov-2022","-","-"
"ESABINDIA","Esab India Limited","EQ","Interim Dividend - Rs 30 Per Share","10","18-Nov-2022","21-Nov-2022","-","-"
"MAANALU","Maan Aluminium Limited","EQ","Interim Dividend - Re 1 Per Share","5","18-Nov-2022","18-Nov-2022","-","-"
"EMAMILTD","Emami Limited","EQ","Interim Dividend - Rs 4 Per Share","1","18-Nov-2022","21-Nov-2022","-","-"
"GPPL","Gujarat Pipavav Port Limited","EQ","Interim Dividend - Rs 2.70 Per Share","10","18-Nov-2022","21-Nov-2022","-","-"
"BALKRISIND","Balkrishna Industries Limited","EQ","Interim Dividend - Rs 4 Per Share","2","21-Nov-2022","22-Nov-2022","-","-"
"MANINFRA","Man Infraconstruction Limited","EQ","Interim Dividend - Re 0.90 Per Share","2","21-Nov-2022","22-Nov-2022","-","-"
"OIL","Oil India Limited","EQ","Interim Dividend - Rs 4.50 Per Share","10","21-Nov-2022","22-Nov-2022","-","-"
"COCHINSHIP","Cochin Shipyard Limited","EQ","Interim Dividend - Rs 7 Per Share","5","21-Nov-2022","22-Nov-2022","-","-"
"MAZDOCK","Mazagon Dock Shipbuilders Limited","EQ","Interim Dividend - Rs 9.10 Per Share","10","21-Nov-2022","22-Nov-2022","-","-"
"3MINDIA","3M India Limited","EQ","Specia Ldividend - Rs 850 Per Share","10","21-Nov-2022","22-Nov-2022","-","-"
"NATCOPHARM","Natco Pharma Limited","EQ","Interim Dividend - Re 0.75 Per Share","2","21-Nov-2022","22-Nov-2022","-","-"
"TIDEWATER","Tide Water Oil Company (India) Limited","EQ","Interim Dividend - Rs 12 Per Share","2","21-Nov-2022","22-Nov-2022","-","-"
"PETRONET","Petronet LNG Limited","EQ","Special Dividend - Rs 7 Per Share","10","21-Nov-2022","22-Nov-2022","-","-"
"ONGC","Oil & Natural Gas Corporation Limited","EQ","Interim Dividend - Rs 6.75 Per Share","5","21-Nov-2022","22-Nov-2022","-","-"
"IPCALAB","IPCA Laboratories Limited","EQ","Interim Dividend - Rs 4 Per Share","1","22-Nov-2022","23-Nov-2022","-","-"
"MANAPPURAM","Manappuram Finance Limited","EQ","Interim Dividend - Re 0.75 Per Share","2","22-Nov-2022","23-Nov-2022","-","-"
"INGERRAND","Ingersoll Rand (India) Limited","EQ","Interim Dividend - Rs 7 Per Share & Special Dividend - Rs 23 Per Share","10","22-Nov-2022","23-Nov-2022","-","-"
"EIDPARRY","EID Parry India Limited","EQ","Interim Dividend - Rs 5.50 Per Share","1","22-Nov-2022","23-Nov-2022","-","-"
"PGIL","Pearl Global Industries Limited","EQ","Interim Dividend - Rs 2.50 Per Share","5","22-Nov-2022","23-Nov-2022","-","-"
"CONCOR","Container Corporation of India Limited","EQ","Interim Dividend - Rs 3 Per Share","5","22-Nov-2022","23-Nov-2022","-","-"
"GESHIP","The Great Eastern Shipping Company Limited","EQ","Interim Dividend - Rs 7.20 Per Share","10","22-Nov-2022","23-Nov-2022","-","-"
"HINDZINC","Hindustan Zinc Limited","EQ","Interim Dividend - Rs 15.50 Per Share","2","23-Nov-2022","24-Nov-2022","-","-"
"PANAMAPET","Panama Petrochem Limited","EQ","Interim Dividend - Rs 3 Per Share","2","23-Nov-2022","24-Nov-2022","-","-"
"BHARATFORG","Bharat Forge Limited","EQ","Interim Dividend - Rs 1.50 Per Share","2","24-Nov-2022","25-Nov-2022","-","-"
"PFC","Power Finance Corporation Limited","EQ","Interim Dividend - Rs 3 Per Share","10","24-Nov-2022","25-Nov-2022","-","-"
"JMFINANCIL","JM Financial Limited","EQ","Interim Dividend - Re 0.90 Per Share","1","24-Nov-2022","25-Nov-2022","-","-"
"CUPID","Cupid Limited","EQ","Interim Dividend - Rs 2 Per Share","1","24-Nov-2022","24-Nov-2022","-","-"
"POLYPLEX","Polyplex Corporation Limited","EQ","Interim Dividend - Rs 20 Per Share & Special Dividend - Rs 35 Per Share","10","24-Nov-2022","25-Nov-2022","-","-"
"MANAKSIA","Manaksia Limited","EQ","Interim Dividend - Rs 3 Per Share","2","25-Nov-2022","25-Nov-2022","-","-"
"GLOBAL","Global Education Limited","EQ","Interim Dividend - Rs  1.50 Per Share","5","25-Nov-2022","26-Nov-2022","-","-"
