,symbol,companyName,industry,isFNOSec,isETFSec,isDelisted,isin,index
2445,TIRUMALCHM,Thirumalai Chemicals Limited,Commodity Chemicals,False,False,False,INE338A01024,NIFTY TOTAL MARKET
2446,STYLAMIND,Stylam Industries Limited,Plywood Boards/ Laminates,False,False,False,INE239C01020,NIFTY TOTAL MARKET
2447,RESPONIND,Responsive Industries Limited,Furniture Home Furnishing,False,False,False,INE688D01026,NIFTY TOTAL MARKET
2448,HBLPOWER,HBL Power Systems Limited,Auto Components & Equipments,False,False,False,INE292B01021,NIFTY TOTAL MARKET
2449,TORNTPHARM,Torrent Pharmaceuticals Limited,Pharmaceuticals,True,False,False,INE685A01028,NIFTY TOTAL MARKET
2450,SURYAROSNI,Surya Roshni Limited,Iron & Steel Products,False,False,False,INE335A01020,NIFTY TOTAL MARKET
2451,PURVA,Puravankara Limited,Residential Commercial Projects,False,False,False,INE323I01011,NIFTY TOTAL MARKET
2452,MANYAVAR,Vedant Fashions Limited,Speciality Retail,False,False,False,INE825V01034,NIFTY TOTAL MARKET
2453,LTFOODS,LT Foods Limited,Other Agricultural Products,False,False,False,INE818H01020,NIFTY TOTAL MARKET
2454,LUXIND,Lux Industries Limited,Garments & Apparels,False,False,False,INE150G01020,NIFTY TOTAL MARKET
2455,GLENMARK,Glenmark Pharmaceuticals Limited,Pharmaceuticals,True,False,False,INE935A01035,NIFTY TOTAL MARKET
2456,IPCALAB,IPCA Laboratories Limited,Pharmaceuticals,True,False,False,INE571A01038,NIFTY TOTAL MARKET
2457,HCG,Healthcare Global Enterprises Limited,Hospital,False,False,False,INE075I01017,NIFTY TOTAL MARKET
2458,CESC,CESC Limited,Integrated Power Utilities,False,False,False,INE486A01021,NIFTY TOTAL MARKET
2459,CUMMINSIND,Cummins India Limited,Compressors Pumps & Diesel Engines,True,False,False,INE298A01020,NIFTY TOTAL MARKET
2460,ASAHIINDIA,Asahi India Glass Limited,Auto Components & Equipments,False,False,False,INE439A01020,NIFTY TOTAL MARKET
2461,TRIVENI,Triveni Engineering & Industries Limited,Sugar,False,False,False,INE256C01024,NIFTY TOTAL MARKET
2462,SANDUMA,Sandur Manganese & Iron Ores Limited,Coal,False,False,False,INE149K01016,NIFTY TOTAL MARKET
2463,IDEA,Vodafone Idea Limited,Telecom - Cellular & Fixed line services,True,False,False,INE669E01016,NIFTY TOTAL MARKET
2464,CARTRADE,Cartrade Tech Limited,E-Retail/ E-Commerce,False,False,False,INE290S01011,NIFTY TOTAL MARKET
2465,PVRINOX,PVR INOX Limited,Film Production Distribution & Exhibition,True,False,False,INE191H01014,NIFTY TOTAL MARKET
2466,TTML,Tata Teleservices (Maharashtra) Limited,Telecom - Cellular & Fixed line services,False,False,False,INE517B01013,NIFTY TOTAL MARKET
2467,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Non Banking Financial Company (NBFC),True,False,False,INE121A01024,NIFTY TOTAL MARKET
2468,RCF,Rashtriya Chemicals and Fertilizers Limited,Fertilizers,False,False,False,INE027A01015,NIFTY TOTAL MARKET
2469,TARC,TARC Limited,Residential Commercial Projects,False,False,False,INE0EK901012,NIFTY TOTAL MARKET
2470,SCI,Shipping Corporation Of India Limited,Shipping,False,False,False,INE109A01011,NIFTY TOTAL MARKET
2471,BLS,BLS International Services Limited,Tour Travel Related Services,False,False,False,INE153T01027,NIFTY TOTAL MARKET
2472,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,Fertilizers,True,False,False,INE085A01013,NIFTY TOTAL MARKET
2473,CUB,City Union Bank Limited,Private Sector Bank,True,False,False,INE491A01021,NIFTY TOTAL MARKET
2474,FLUOROCHEM,Gujarat Fluorochemicals Limited,Specialty Chemicals,False,False,False,INE09N301011,NIFTY TOTAL MARKET
2475,HINDOILEXP,Hindustan Oil Exploration Company Limited,Oil Exploration & Production,False,False,False,INE345A01011,NIFTY TOTAL MARKET
2476,M&M,Mahindra & Mahindra Limited,Passenger Cars & Utility Vehicles,True,False,False,INE101A01026,NIFTY TOTAL MARKET
2477,IMFA,Indian Metals & Ferro Alloys Limited,Ferro & Silica Manganese,False,False,False,INE919H01018,NIFTY TOTAL MARKET
2478,GET&D,GE T&D India Limited,Heavy Electrical Equipment,False,False,False,INE200A01026,NIFTY TOTAL MARKET
2479,BASF,BASF India Limited,Specialty Chemicals,False,False,False,INE373A01013,NIFTY TOTAL MARKET
2480,DBL,Dilip Buildcon Limited,Civil Construction,False,False,False,INE917M01012,NIFTY TOTAL MARKET
2481,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Sugar,False,False,False,INE306A01021,NIFTY TOTAL MARKET
2482,TEGA,Tega Industries Limited,Industrial Products,False,False,False,INE011K01018,NIFTY TOTAL MARKET
2483,ASTERDM,Aster DM Healthcare Limited,Hospital,False,False,False,INE914M01019,NIFTY TOTAL MARKET
2484,POLYPLEX,Polyplex Corporation Limited,Packaging,False,False,False,INE633B01018,NIFTY TOTAL MARKET
2485,VAIBHAVGBL,Vaibhav Global Limited,Gems Jewellery And Watches,False,False,False,INE884A01027,NIFTY TOTAL MARKET
2486,BDL,Bharat Dynamics Limited,Aerospace & Defense,False,False,False,INE171Z01026,NIFTY TOTAL MARKET
2487,MARKSANS,Marksans Pharma Limited,Pharmaceuticals,False,False,False,INE750C01026,NIFTY TOTAL MARKET
2488,ABFRL,Aditya Birla Fashion and Retail Limited,Speciality Retail,True,False,False,INE647O01011,NIFTY TOTAL MARKET
2489,KIRLOSBROS,Kirloskar Brothers Limited,Compressors Pumps & Diesel Engines,False,False,False,INE732A01036,NIFTY TOTAL MARKET
2490,GODREJPROP,Godrej Properties Limited,Residential Commercial Projects,True,False,False,INE484J01027,NIFTY TOTAL MARKET
2491,ADANIGREEN,Adani Green Energy Limited,Power Generation,False,False,False,INE364U01010,NIFTY TOTAL MARKET
2492,CONCORDBIO,Concord Biotech Limited,Pharmaceuticals,False,False,False,INE338H01029,NIFTY TOTAL MARKET
2493,RBLBANK,RBL Bank Limited,Private Sector Bank,True,False,False,INE976G01028,NIFTY TOTAL MARKET
2494,SWSOLAR,Sterling and Wilson Renewable Energy Limited,Civil Construction,False,False,False,INE00M201021,NIFTY TOTAL MARKET
2495,CONFIPET,Confidence Petroleum India Limited,LPG/CNG/PNG/LNG Supplier,False,False,False,INE552D01024,NIFTY TOTAL MARKET
2496,LICI,Life Insurance Corporation Of India,Life Insurance,False,False,False,INE0J1Y01017,NIFTY TOTAL MARKET
2497,NIITMTS,NIIT Learning Systems Limited,Education,False,False,False,INE342G01023,NIFTY TOTAL MARKET
2498,KSB,Ksb Limited,Compressors Pumps & Diesel Engines,False,False,False,INE999A01023,NIFTY TOTAL MARKET
2499,SUBROS,Subros Limited,Auto Components & Equipments,False,False,False,INE287B01021,NIFTY TOTAL MARKET
2500,CSBBANK,CSB Bank Limited,Private Sector Bank,False,False,False,INE679A01013,NIFTY TOTAL MARKET
2501,DELTACORP,Delta Corp Limited,Amusement Parks/ Other Recreation,False,False,False,INE124G01033,NIFTY TOTAL MARKET
2502,TATAPOWER,Tata Power Company Limited,Integrated Power Utilities,True,False,False,INE245A01021,NIFTY TOTAL MARKET
2503,AMBUJACEM,Ambuja Cements Limited,Cement & Cement Products,True,False,False,INE079A01024,NIFTY TOTAL MARKET
2504,ERIS,Eris Lifesciences Limited,Pharmaceuticals,False,False,False,INE406M01024,NIFTY TOTAL MARKET
2505,BOSCHLTD,Bosch Limited,Auto Components & Equipments,True,False,False,INE323A01026,NIFTY TOTAL MARKET
2506,LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare Service Provider,True,False,False,INE600L01024,NIFTY TOTAL MARKET
2507,AVANTIFEED,Avanti Feeds Limited,Animal Feed,False,False,False,INE871C01038,NIFTY TOTAL MARKET
2508,PATANJALI,Patanjali Foods Limited,Edible Oil,False,False,False,INE619A01035,NIFTY TOTAL MARKET
2509,CERA,Cera Sanitaryware Limited,Sanitary Ware,False,False,False,INE739E01017,NIFTY TOTAL MARKET
2510,PARADEEP,Paradeep Phosphates Limited,Fertilizers,False,False,False,INE088F01024,NIFTY TOTAL MARKET
2511,UJJIVANSFB,Ujjivan Small Finance Bank Limited,Other Bank,False,False,False,INE551W01018,NIFTY TOTAL MARKET
2512,VIPIND,VIP Industries Limited,Plastic Products - Consumer,False,False,False,INE054A01027,NIFTY TOTAL MARKET
2513,IEX,Indian Energy Exchange Limited,Exchange and Data Platform,True,False,False,INE022Q01020,NIFTY TOTAL MARKET
2514,GULFOILLUB,Gulf Oil Lubricants India Limited,Lubricants,False,False,False,INE635Q01029,NIFTY TOTAL MARKET
2515,WELENT,Welspun Enterprises Limited,Civil Construction,False,False,False,INE625G01013,NIFTY TOTAL MARKET
2516,OIL,Oil India Limited,Oil Exploration & Production,False,False,False,INE274J01014,NIFTY TOTAL MARKET
2517,INOXWIND,Inox Wind Limited,Heavy Electrical Equipment,False,False,False,INE066P01011,NIFTY TOTAL MARKET
2518,ANGELONE,Angel One Limited,Stockbroking & Allied,False,False,False,INE732I01013,NIFTY TOTAL MARKET
2519,NEULANDLAB,Neuland Laboratories Limited,Pharmaceuticals,False,False,False,INE794A01010,NIFTY TOTAL MARKET
2520,PRAJIND,Praj Industries Limited,Industrial Products,False,False,False,INE074A01025,NIFTY TOTAL MARKET
2521,VESUVIUS,Vesuvius India Limited,Electrodes & Refractories,False,False,False,INE386A01015,NIFTY TOTAL MARKET
2522,EXIDEIND,Exide Industries Limited,Auto Components & Equipments,True,False,False,INE302A01020,NIFTY TOTAL MARKET
2523,ALOKINDS,Alok Industries Limited,Other Textile Products,False,False,False,INE270A01029,NIFTY TOTAL MARKET
2524,KIRLPNU,Kirloskar Pneumatic Company Limited,Compressors Pumps & Diesel Engines,False,False,False,INE811A01020,NIFTY TOTAL MARKET
2525,KIRLOSENG,Kirloskar Oil Engines Limited,Compressors Pumps & Diesel Engines,False,False,False,INE146L01010,NIFTY TOTAL MARKET
2526,EDELWEISS,Edelweiss Financial Services Limited,Holding Company,False,False,False,INE532F01054,NIFTY TOTAL MARKET
2527,BHARATFORG,Bharat Forge Limited,Auto Components & Equipments,True,False,False,INE465A01025,NIFTY TOTAL MARKET
2528,FORTIS,Fortis Healthcare Limited,Hospital,False,False,False,INE061F01013,NIFTY TOTAL MARKET
2529,EASEMYTRIP,Easy Trip Planners Limited,Tour Travel Related Services,False,False,False,INE07O001026,NIFTY TOTAL MARKET
2530,HINDZINC,Hindustan Zinc Limited,Zinc,False,False,False,INE267A01025,NIFTY TOTAL MARKET
2531,JAICORPLTD,Jai Corp Limited,Plastic Products - Industrial,False,False,False,INE070D01027,NIFTY TOTAL MARKET
2532,METROPOLIS,Metropolis Healthcare Limited,Healthcare Service Provider,True,False,False,INE112L01020,NIFTY TOTAL MARKET
2533,MANINFRA,Man Infraconstruction Limited,Civil Construction,False,False,False,INE949H01023,NIFTY TOTAL MARKET
2534,SOUTHBANK,The South Indian Bank Limited,Private Sector Bank,False,False,False,INE683A01023,NIFTY TOTAL MARKET
2535,BEML,BEML Limited,Construction Vehicles,False,False,False,INE258A01016,NIFTY TOTAL MARKET
2536,INFIBEAM,Infibeam Avenues Limited,Financial Technology (Fintech),False,False,False,INE483S01020,NIFTY TOTAL MARKET
2537,POWERINDIA,Hitachi Energy India Limited,Heavy Electrical Equipment,False,False,False,INE07Y701011,NIFTY TOTAL MARKET
2538,SSWL,Steel Strips Wheels Limited,Auto Components & Equipments,False,False,False,INE802C01033,NIFTY TOTAL MARKET
2539,PPLPHARMA,Piramal Pharma Limited,Pharmaceuticals,False,False,False,INE0DK501011,NIFTY TOTAL MARKET
2540,PNCINFRA,PNC Infratech Limited,Civil Construction,False,False,False,INE195J01029,NIFTY TOTAL MARKET
2541,FINCABLES,Finolex Cables Limited,Cables - Electricals,False,False,False,INE235A01022,NIFTY TOTAL MARKET
2542,SANSERA,Sansera Engineering Limited,Auto Components & Equipments,False,False,False,INE953O01021,NIFTY TOTAL MARKET
2543,BORORENEW,BOROSIL RENEWABLES LIMITED,Glass - Industrial,False,False,False,INE666D01022,NIFTY TOTAL MARKET
2544,BALAMINES,Balaji Amines Limited,Specialty Chemicals,False,False,False,INE050E01027,NIFTY TOTAL MARKET
2545,NAVA,NAVA LIMITED,Power Generation,False,False,False,INE725A01022,NIFTY TOTAL MARKET
2546,MAPMYINDIA,C.E. Info Systems Limited,Software Products,False,False,False,INE0BV301023,NIFTY TOTAL MARKET
2547,ARVIND,Arvind Limited,Garments & Apparels,False,False,False,INE034A01011,NIFTY TOTAL MARKET
2548,ATGL,Adani Total Gas Limited,LPG/CNG/PNG/LNG Supplier,False,False,False,INE399L01023,NIFTY TOTAL MARKET
2549,MOTHERSON,Samvardhana Motherson International Limited,Auto Components & Equipments,True,False,False,INE775A01035,NIFTY TOTAL MARKET
